NameTitle,CDFirstName,CDLastName,EduBackGround,Career,PartyName
พันตำรวจเอก,ทวี,สอดส่อง,สำเร็จการศึกษานักเรียนนายร้อยตำรวจรุ่น 37,เลขาธิการพรรคประชาชาติ,ประชาชาติ
นางสาว,ณหทัย,ทิวไผ่งาม,สำเร็จการศึกษาระดับปริญญาตรีคณะครุศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,ประธานที่ปรึกษาโรงเรียนทิวไผ่งาม ,ประชาชาติ
นาย,พิเชษฐ,สถิรชวาล,สำเร็จการศึกษาระดับปริญญาตรีจากแคลิฟอร์เนีย คอลเลจ ออฟ คอมเมอร์ซ,หัวหน้าพรรคประชาธรรมไทย,ประชาธรรมไทย
นาย,ชัยวุฑ,ตรึกตรอง,สำเร็จการศึกษาจากโรงเรียนวัดจันทาราม,ผู้บริหารสถาบันการศึกษารัชต์ภาคย์,ประชาธรรมไทย
นาย,สุรทิน,พิจารณ์,สำเร็จการศึกษาระดับปริญญาตรี,หัวหน้าพรรคประชาธิปไตยใหม่,ประชาธิปไตยใหม่
นาย,จุรินทร์,ลักษณวิศิษฎ์,สำเร็จปริญญาตรี รัฐศาสตร์บัณฑิต สาขาบริหารรัฐกิจ จากมหาวิทยาลัยธรรมศาสตร์,รักษาการหัวหน้าพรรคประชาธิปัตย์,ประชาธิปัตย์
พันตำรวจเอก,รวมนคร,ทับทิมธงไชย,สำเร็จการศึกษาจากโรงเรียนนายร้อยตำรวจ (รุ่น 42),นักธุรกิจ,ประชานิยม
พลตำรวจเอก,ยงยุทธ,เทพจำนงค์,NULL,หัวหน้าพรรคประชานิยม,ประชานิยม
นาย,ปฐมฤกษ์,มณีเนตร,สำเร็จการศึกษามหาบัณฑิต (กศ.ม.)  สาขาวิชาการบริหารการศึกษา  มหาวิทยาลัยบูรพา,ผอ.สพป.นครราชสีมา เขต 1,ประชานิยม
นาย,สมเกียรติ,ศรลัมพ์,สำเร็จการศึกษาระดับปริญญาตรี คณะรัฐศาสตร์ มหาวิทยาลัยรามคำแหง,หัวหน้าพรรคประชาภิวัฒน์,ประชาภิวัฒน์
นางสาว,นันทนา,สงฆ์ประชา,สำเร็จการศึกษาระดับปริญญาตรี สาขาการเงินการธนาคาร UNIVERSITY OF THE EAST,เลขาธิการพรรคประชาภิวัฒน์,ประชาภิวัฒน์
ศาสตราจารย์,สุทธิพร,จิตต์มิตรภาพ,สำเร็จการศึกษาระดับปริญญาแพทยศาสตรบัณฑิต (เกียรตินิยม) คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,กรรมการองค์กรระดับนานาชาติด้านการวิจัยหลายองค์กร,ประชาภิวัฒน์
ศาสตราจารย์พิเศษร้อยโท,บรรจบ,บรรณรุจิ,สำเร็จการศึกษาระดับปริญญาตรีวุฒิพุทธศาสตรบัณฑิต (พธ.บ.) มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย,ศาสตราจารย์พิเศษ ภาควิชาภาษาตะวันออก จุฬาลงกรณ์มหาวิทยาลัย ,แผ่นดินธรรม
นาย,กรณ์,มีดี,NULL,เลขาธิการสมาพันธ์ชาวพุทธแห่งประเทศไทย,แผ่นดินธรรม
นาย,เอกพร,รักความสุข,สำเร็จการศึกษาระดับปริญญาตรีนิติศาสตร์บัณฑิต จากมหาวิทยาลัยธรรมศาสตร์,ประธานหลักสูตรปรัชญาดุษฎีบัณฑิต สาขารัฐประศาสนศาสตร์ มหาวิทยาลัยเวสเทิร์น,พลเมืองไทย
