ElecNo,MPNo,PartyName,NameTitle,MPFirstName,MPLastName,PartyStatus
2,28,ประชาธิรรมไทย,นาย,วิทยา,อิบรอฮีม,ยังดำเนินการอยู่
2,29,มหาชน,นาย,ศิวกร,ซิมมณี,ยังดำเนินการอยู่
2,30,สามัญชน,นางสาว,ภัทร์นฤน,วงศ์กาศ,ยังดำเนินการอยู่
2,31,พลังท้องถิ่นไท,นางสาว,เพ็ญลดา,ครุธโกษา,ยังดำเนินการอยู่
3,1,ไทยรักษาชาติ,นาย,พงษ์พิสุทธิ์,จินตโสภณ,ถูกศาลรัฐธรรมนูญสั่งยุบพรรค
3,2,ประชาภิวัฒน์,นาย,สกนธ์,กัปปิยจรรยา,ยังดำเนินการอยู่
3,3,พลังประชารัฐ,นาย,เนวินธุ์,ช่อชัยทิพฐ์,ยังดำเนินการอยู่
3,4,ประชาชนปฏิรูป,นาย,ปณตพร,โอฬารฤทธินันท์,ยังดำเนินการอยู่
3,5,รวมพลังประชาชาติไทย,นาย,จุมพล ,จันทร์จิระ,ยังดำเนินการอยู่
3,6,พลังท้องถิ่นไท,นาย,ธิมล,ไตรรัตน์วิโรจน์,ยังดำเนินการอยู่
3,7,พลังธรรมใหม่,นาง,นงลักษณ์ ,ติรกาญจนา,ยังดำเนินการอยู่
3,8,ประชาชาติ,นางสาว,วิลนันต์,จันธนนิโรจน์,ยังดำเนินการอยู่
3,9,ชาติไทยพัฒนา,นาย,ศิระรังษี ,ปารมีอิทธิวงษ์,ยังดำเนินการอยู่
3,10,เพื่อชาติ,นาย,สันติ,วิชัยพล,ยังดำเนินการอยู่
3,11,เสรีรวมไทย,นาย,ไสว,ทัศนีย์ภาพ,ยังดำเนินการอยู่
3,12,ภูมิใจไทย,นาย,ณฐพนธ์ ,คงศิลา,ยังดำเนินการอยู่
3,13,ประชาธิปัตย์,หม่อมหลวง,อภิมงคล ,โสณกุล,ยังดำเนินการอยู่
3,14,อนาคตใหม่,นางสาว,วรรณวรี,ตะล่อมสิน,ยังดำเนินการอยู่
3,15,ชาติพัฒนา,นาย,เอกรัฐ ,เลิศรัตนชัยกิจ,ยังดำเนินการอยู่
3,16,ประชานิยม,นาย,ปฐวี ,ชัยวัฒน์,ยังดำเนินการอยู่
3,17,ภราดรภาพ,นาง,ธนัชพร,วงษ์ทองทิว,ยังดำเนินการอยู่
3,18,ไทยศรีวิไลย์,นาย,ธนชัย,ตั้งตรงสากล,ยังดำเนินการอยู่
3,19,รักษ์ผืนป่าประเทศไทย,นาย,สิทธิกร ,หล่อกัณภัย,ยังดำเนินการอยู่
3,20,เศรษฐกิจใหม่,นาย,วิทยา,ตั้งสุวรรณวงศ์,ยังดำเนินการอยู่
3,21,ครูไทยเพื่อประชาชน,นาย,อุปถัมภ์ ,พรรณสังข์,ยังดำเนินการอยู่
3,22,พลังชาติไทย,นาย,กิตตน์,รุ่งณรงค์รักษ์,ยังดำเนินการอยู่
3,23,พลังไทยรักชาติ,นางสาว,ดวงกมล,อดุลย์เศรณี,ยังดำเนินการอยู่
3,24,พลังสังคม,ร้อยตรี,ศรันย์วิทย์,เหมรักษ์,ยังดำเนินการอยู่
3,25,พลังไทสร้างชาติ,นาย,พิสิษฐ์ ,เจียมจิรอานนท์,ยังดำเนินการอยู่
3,26,ประชาธิปไตยใหม่,นาย,ชมน์สฤษฏ์ ,รัตนชัยเดชา,ยังดำเนินการอยู่
3,27,มติประชา,นาย,เพียรชัย ,องค์ศรีตระกูล,ยังดำเนินการอยู่
3,28,พลังศรัทธา,นางสาว,พัชรินทร์ ,ประสพสุข,ยังดำเนินการอยู่
3,29,มหาชน,นางสาว,ไอยพราว ,พัชร์ปวริศร์,ยังดำเนินการอยู่
3,30,ประชาธรรมไทย,นางสาว,ปัญนิษา ,จำรัสธนเดช,ยังดำเนินการอยู่
3,31,แผ่นดินธรรม,นางสาว,ภัทรา ,นิทัศนานนทชัย,ยังดำเนินการอยู่
3,32,ภาคีเครือข่ายไทย,นาย,สุรสิทธิ์,ผาบชมภู,ยังดำเนินการอยู่
3,33,ไทรักธรรม,นาย,กฤษณะ ,เนตร์ชัยรัตน์,ยังดำเนินการอยู่
4,1,เพื่อชาติ,นาย,บุญเลิศ ,นุ้ยเมือง,ยังดำเนินการอยู่
4,2,อนาคตใหม่,นาย,กรณ์,จตุวิมล,ยังดำเนินการอยู่
4,3,เสรีรวมไทย,นางสาว,เดือนเพ็ญ,ยวงสูงเนิน,ยังดำเนินการอยู่
4,4,รวมพลังประชาชาติไทย,นาย,พิรสุต,จันทรานุวัฒน์,ยังดำเนินการอยู่
4,5,ภูมิใจไทย,นาย,เอกราช ,หวังนุช,ยังดำเนินการอยู่
4,6,พลังประชารัฐ,นาง,กรณิศ ,งามสุคนธ์รัตนา,ยังดำเนินการอยู่
4,7,ชาติพัฒนา,นางสาว,เมลิสา ,มหาพล,ยังดำเนินการอยู่
4,8,ประชาชาติ,นาย,มีชัย ,ออสุวรรณ,ยังดำเนินการอยู่
4,9,ประชาภิวัฒน์,นาย,นรินทร์ ,โกศลรุ่งเรือง,ยังดำเนินการอยู่
4,10,ไทยศรีวิไลย์,นาย,ศุภฤกษ์ ,ธนาพัชรมนฑ์,ยังดำเนินการอยู่
4,11,ประชาธิปัตย์,นาย,อนุชา ,บูรพชัยศรี,ยังดำเนินการอยู่
4,12,ประชาชนปฏิรูป,นาย,สมชาย ,ชีวเกรียงไกร,ยังดำเนินการอยู่
4,13,มหาชน,นาย,จักรกรินทร์ ,สิงหนุต,ยังดำเนินการอยู่
4,14,ชาติไทยพัฒนา,นางสาว,สกุลทิพย์ ,วิชญาโนทัย,ยังดำเนินการอยู่
4,15,ภราดรภาพ,นาย,สันทัด ,อัศวมั่นคงเจริญ,ยังดำเนินการอยู่
4,16,รักษ์ผืนป่าประเทศไทย,นาง,สุธีรัชต์ ,อมรพงศาพันธ์,ยังดำเนินการอยู่
4,17,พลังท้องถิ่นไท,นาย,อดิธร ,ศรีประเสริฐ,ยังดำเนินการอยู่
4,18,ไทยรักษาชาติ,นาย,นวธันย์ ,ธวัชวงศ์เดชากุล,ถูกศาลรัฐธรรมนูญสั่งยุบพรรค
4,19,ประชานิยม,นาย,พันเทพ ,หงษ์สุมาลย์,ยังดำเนินการอยู่
4,20,พลังชาติไทย,นาย,ธนเสฏฐ์ ,รัตนสมบูรณ์,ยังดำเนินการอยู่
4,21,เศรษฐกิจใหม่,นาย,ธนภณ ,ธัญธนสกุล,ยังดำเนินการอยู่
4,22,ประชากรไทย,นาย,ธนเดช ,ไชยพฤกษ์,ยังดำเนินการอยู่
